Date_Time,XRS_B_Flux,Flare_Class
2010-04-08 02:32:00,4.636547501490895e-08,
2010-04-08 03:23:00,5.484351959239575e-07,B5.4
2010-04-08 04:05:00,3.4481274724385e-07,
2010-04-08 04:14:00,3.70212234201972e-07,B3.7
2010-04-08 04:18:00,3.524696694512386e-07,
2010-04-08 04:24:00,3.4014072980426135e-07,
2010-04-08 16:52:00,4.812181231272916e-08,
2010-04-08 17:00:00,1.0835633190708904e-07,B1.0
2010-04-08 17:04:00,5.9559621234939186e-08,
2010-04-08 17:08:00,4.7879556319685435e-08,
2010-04-09 04:40:00,3.2435917063367015e-08,
2010-04-09 04:55:00,5.549240995605942e-07,B5.5
2010-04-09 05:02:00,2.5373850576215773e-07,
2010-04-09 05:38:00,2.413009525525922e-08,
2010-04-09 20:16:00,7.435436799596573e-08,
2010-04-09 20:21:00,1.2602784238424647e-07,B1.2
2010-04-09 20:25:00,7.578193361723606e-08,
2010-04-09 20:28:00,7.149924385885242e-08,
2010-04-09 20:30:00,6.773566951778776e-08,
2010-04-09 20:35:00,1.3028889611632621e-07,B1.3
2010-04-09 20:41:00,9.516651289231959e-08,
2010-04-09 21:10:00,6.371253391534992e-08,
2010-04-10 09:09:00,7.915617317166834e-08,
2010-04-10 09:15:00,1.2016617745302938e-07,B1.2
2010-04-10 09:31:00,9.918099408423586e-08,
2010-04-10 09:44:00,8.22449024440175e-08,
2010-04-13 04:37:00,3.2098033120320224e-09,
2010-04-13 04:43:00,5.493436106007721e-07,B5.4
2010-04-13 04:50:00,2.361751541002377e-07,
2010-04-13 05:15:00,2.327309678307188e-09,
2010-04-17 04:48:00,5.540671210724213e-08,
2010-04-17 04:54:00,1.0394386151801882e-07,B1.0
2010-04-17 05:01:00,9.330202743740301e-08,
2010-04-17 05:18:00,1.5507659156810405e-07,B1.5
2010-04-17 05:20:00,1.4469431164343405e-07,
2010-04-17 05:31:00,2.322947807442688e-07,B2.3
2010-04-17 05:35:00,2.2217206208097195e-07,
2010-04-17 05:54:00,3.005582698278886e-07,B3.0
2010-04-17 06:09:00,2.9187609129621706e-07,
2010-04-17 06:12:00,3.08474767507505e-07,B3.0
2010-04-17 06:16:00,2.829689549344039e-07,
2010-04-17 06:17:00,2.8264884122108924e-07,
2010-04-24 22:52:00,2.75043348096915e-08,
2010-04-24 23:02:00,1.5520636509336327e-07,B1.5
2010-04-24 23:13:00,8.688664365763543e-08,
2010-04-24 23:55:00,2.5038543682853742e-08,
2010-04-25 05:55:00,4.5803101755836906e-08,
2010-04-25 06:01:00,1.0511186587791599e-07,B1.0
2010-04-25 06:07:00,4.624002158948315e-08,
2010-04-25 06:08:00,4.4115981978620766e-08,
2010-04-26 09:23:00,4.255863927937753e-08,
2010-04-26 09:31:00,1.1912794661839143e-07,B1.1
2010-04-26 09:35:00,6.18956335074472e-08,
2010-04-26 09:41:00,4.1001296580134294e-08,
2010-04-26 18:20:00,4.6867285163898487e-08,
2010-04-26 18:31:00,1.2821243444705033e-07,B1.2
2010-04-26 18:42:00,8.045395816225209e-08,
2010-04-26 18:50:00,4.995601443624764e-08,
2010-04-29 07:18:00,4.653916718666551e-08,
2010-04-29 07:24:00,1.0048375287396993e-07,B1.0
2010-04-29 07:34:00,6.171892152906366e-08,
2010-04-29 08:02:00,5.1306361825709246e-08,
2010-04-29 17:29:00,6.493310422683862e-08,
2010-04-29 17:36:00,1.241120912709448e-07,B1.2
2010-04-29 17:43:00,7.865501316928203e-08,
2010-04-29 17:49:00,6.31162038189359e-08,
2010-04-29 22:39:00,7.539324542449322e-08,
2010-04-29 22:42:00,1.287841229213882e-07,B1.2
2010-04-29 22:46:00,7.928227319098369e-08,
2010-04-29 22:47:00,7.661316203666502e-08,
2010-09-01 11:17:00,4.9956742742551796e-08,
2010-09-01 11:24:00,1.2496870738232246e-07,B1.2
2010-09-01 11:28:00,6.643860928079448e-08,
2010-09-01 11:29:00,5.449466300433414e-08,
2010-09-01 21:26:00,7.552310421488073e-08,
2010-09-01 21:32:00,1.0931742622233287e-07,B1.0
2010-09-01 21:37:00,7.889734376931301e-08,
2010-09-01 21:38:00,7.143075464455251e-08,
2010-09-03 14:40:00,5.8283017523308445e-08,
2010-09-03 14:49:00,1.4095191147589503e-07,B1.4
2010-09-03 14:55:00,1.2862295761806308e-07,
2010-09-03 15:18:00,4.220823939249385e-07,B4.2
2010-09-03 15:43:00,2.5606541953493434e-07,
2010-09-03 16:26:00,1.256380528502632e-07,
2010-09-03 22:03:00,1.0617127799150694e-07,
2010-09-03 22:06:00,1.5886134008269437e-07,B1.5
2010-09-03 22:10:00,1.2797406157005753e-07,
2010-09-03 22:15:00,9.728577765599766e-08,
2010-09-03 22:34:00,7.52839994788701e-08,
2010-09-03 22:44:00,1.221340397705717e-07,B1.2
2010-09-03 22:48:00,9.955257951332896e-08,
2010-09-03 22:52:00,1.25763506275689e-07,B1.2
2010-09-03 23:07:00,9.552944391089113e-08,
2010-09-03 23:08:00,9.656767474552908e-08,
2010-09-04 00:18:00,7.04127458561743e-08,
2010-09-04 00:24:00,1.0623161017520033e-07,B1.0
2010-09-04 00:28:00,9.338354090004941e-08,
2010-09-04 00:29:00,7.573366644919588e-08,
2010-09-04 01:22:00,8.105458704221746e-08,
2010-09-04 01:28:00,1.290726174829615e-07,B1.2
2010-09-04 01:32:00,9.156664049214669e-08,
2010-09-04 01:33:00,8.494794201396871e-08,
2010-09-04 03:18:00,9.583635574017535e-08,
2010-09-04 03:52:00,3.1048563187141553e-07,B3.1
2010-09-04 03:53:00,2.9752507657576643e-07,
2010-09-04 04:02:00,3.4975226981259766e-07,B3.4
2010-09-04 04:03:00,3.3645864050413365e-07,
2010-09-04 04:12:00,3.673156356853724e-07,B3.6
2010-09-04 04:16:00,3.3905422469615587e-07,
2010-09-04 04:17:00,3.298399349205283e-07,
2010-09-04 06:58:00,1.0623161017520033e-07,
2010-09-04 07:03:00,8.352536156053247e-07,B8.3
2010-09-04 07:07:00,2.7887159603778855e-07,
2010-09-04 07:18:00,1.1544588573997316e-07,
2010-09-04 07:24:00,2.1877983158447023e-07,B2.1
2010-09-04 07:31:00,1.6255546597676584e-07,
2010-09-04 07:51:00,1.2401126525674044e-07,
2010-09-04 07:55:00,2.2874249339110975e-07,B2.2
2010-09-04 07:59:00,1.713804067549063e-07,
2010-09-04 08:12:00,1.2180503006220533e-07,
2010-09-04 09:14:00,1.3400419618392334e-07,
2010-09-04 09:21:00,2.11001790262344e-07,B2.1
2010-09-04 09:27:00,1.6891462450985273e-07,
2010-09-04 09:33:00,1.3153841393886978e-07,
2010-09-04 09:35:00,1.1252154052954211e-07,
2010-09-04 09:42:00,1.6826572846184717e-07,B1.6
2010-09-04 09:50:00,1.259579391899024e-07,
2010-09-04 09:54:00,1.1661389009987033e-07,
2010-09-04 13:32:00,8.352037639269838e-08,
2010-09-04 13:35:00,1.2349214273399411e-07,B1.2
2010-09-04 13:39:00,9.870445438764364e-08,
2010-09-04 14:13:00,1.0519338644598974e-07,
2010-09-04 14:18:00,1.5113496942831262e-07,B1.5
2010-09-04 14:25:00,1.26477047501794e-07,
2010-09-04 14:27:00,1.371102342773156e-07,
2010-09-04 14:35:00,3.6280368931329576e-07,B3.6
2010-09-04 14:39:00,1.9383207927603507e-07,
2010-09-04 14:45:00,1.372486622130964e-07,
2010-09-04 14:58:00,1.4551555693742557e-07,
2010-09-04 15:07:00,2.2705538071932096e-07,B2.2
2010-09-04 15:24:00,1.797641004941397e-07,
2010-09-04 15:52:00,1.999316765477488e-07,
2010-09-04 16:00:00,6.387127200468967e-07,B6.3
2010-09-04 16:04:00,2.585915694908181e-07,
2010-09-04 16:11:00,1.9837433740121924e-07,
2010-09-04 22:01:00,2.2041072611500567e-07,
2010-09-04 22:08:00,4.5877055754317553e-07,B4.5
2010-09-04 22:12:00,3.0458937771982164e-07,
2010-09-04 22:23:00,2.1628376600801857e-07,
2010-09-04 23:25:00,1.917556318176139e-07,
2010-09-04 23:29:00,2.9994762940077635e-07,B2.9
2010-09-04 23:33:00,1.9668721051857574e-07,
2010-09-04 23:40:00,1.952596448973054e-07,
2010-09-05 01:20:00,2.1958855711545766e-07,
2010-09-05 01:23:00,4.840425162910833e-07,B4.8
2010-09-05 01:27:00,3.1518339937974815e-07,
2010-09-05 01:32:00,2.2387125397926866e-07,
2010-09-05 02:08:00,1.7221941561729182e-07,
2010-09-05 02:16:00,5.535085847441223e-07,B5.5
2010-09-05 02:22:00,2.975854442865966e-07,
2010-09-05 02:39:00,1.683260535401132e-07,
2010-09-05 02:59:00,5.014674115955131e-07,B5.0
2010-09-05 03:17:00,3.213348804820271e-07,
2010-09-05 04:44:00,1.687153883267456e-07,
2010-09-05 09:08:00,1.3390447861638677e-07,
2010-09-05 09:13:00,1.855866003097617e-07,B1.8
2010-09-05 09:19:00,1.4846995100015192e-07,
2010-09-05 09:21:00,1.3302630463840615e-07,
2010-09-05 12:14:00,1.3912588769926515e-07,
2010-09-05 12:24:00,4.762904097788123e-07,B4.7
2010-09-05 12:46:00,2.908456053773989e-07,
2010-09-05 13:46:00,1.3510276630768203e-07,
2010-09-05 14:30:00,1.4946058968234865e-07,
2010-09-05 14:40:00,2.2270323540851678e-07,B2.2
2010-09-05 14:45:00,1.8701415172017732e-07,
2010-09-05 14:58:00,8.373341415790492e-07,B8.3
2010-09-05 15:08:00,4.633125456621201e-07,
2010-09-05 15:24:00,1.8684544045299845e-07,
2010-09-05 17:55:00,1.258884907429092e-07,
2010-09-05 18:02:00,1.8559092040959513e-07,B1.8
2010-09-05 18:07:00,1.4717215890414082e-07,
2010-09-05 18:23:00,1.2775730340308655e-07,
2010-09-05 20:29:00,1.401641185339031e-07,
2010-09-05 20:39:00,2.634536713230773e-07,B2.6
2010-09-05 20:44:00,1.7768741145118838e-07,
2010-09-05 21:42:00,1.6495181398568093e-07,
